v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,t
8,8,8,8,8,8,11,11,40,40,40,43,40,40,46,46,30,29,29,81
1,1,1,1,1,1,1,1,12,12,12,14,12,12,14,14,6,6,6,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,5,5,23,23,23,22,23,23,25,24,23,22,22,29
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2
1,1,1,1,1,1,1,1,12,12,12,13,12,12,13,13,13,13,13,13
38,38,38,49,38,38,61,58,347,344,343,444,343,344,494,489,320,317,315,466
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
2,2,2,1,2,2,1,1,4,4,4,9,4,4,12,12,9,9,9,51
20,20,20,28,20,20,31,31,82,80,79,329,255,259,400,388,102,100,100,242
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,5,5,6
11,11,11,14,11,11,14,14,117,115,113,132,113,115,162,159,125,122,122,255
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
4,4,1,2,1,4,5,5,9,9,9,14,9,9,15,15,11,9,9,26
1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,5
10,10,9,8,9,10,10,10,46,45,44,47,44,45,50,49,36,34,32,106
46,42,38,47,38,42,77,64,518,510,504,707,504,510,936,902,367,362,356,1004
0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,2,0
0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,6,6,6,5
19,19,19,19,19,19,21,21,119,119,119,124,119,119,130,130,79,79,79,326
0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
10,10,10,13,10,10,15,15,37,37,36,42,36,37,47,47,3,3,3,110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,0,0,0,20
0,0,0,1,0,0,1,1,8,8,8,10,8,8,12,12,6,6,6,27
1,1,1,2,1,1,3,3,23,23,23,23,23,23,26,26,14,14,14,49
1,1,1,1,1,1,1,1,8,8,8,9,8,8,9,9,17,17,17,42
5,5,5,5,5,5,6,6,28,25,25,28,25,25,33,30,26,22,22,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,7,7,7,10,7,7,12,12,5,5,5,14
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,3,2,2,3,3,6,6,6,7,6,6,8,8,13,13,12,39
4,4,4,6,4,4,6,6,60,59,57,60,57,59,71,69,52,52,50,91
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,3,3
0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,2,2,2,5
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,8,7,7,9,7,7,11,10,4,4,4,7
7,6,6,7,6,6,8,7,61,60,60,69,60,60,84,83,39,37,37,655
17,17,17,28,22,22,29,29,104,103,98,309,235,249,391,382,128,123,122,285
18,18,18,18,18,18,21,21,86,86,86,101,86,86,114,114,78,78,78,168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7
3,3,3,7,3,3,8,8,48,46,46,60,46,46,68,66,35,32,32,96
4,4,4,7,4,4,8,8,6,6,6,17,6,6,29,21,15,13,12,19
0,0,0,0,0,0,0,0,4,4,4,4,4,4,5,5,11,2,2,3
4,4,4,9,4,4,12,12,50,48,46,61,48,50,77,74,13,13,13,128
0,0,0,0,0,0,0,0,2,2,2,5,2,2,5,5,2,2,2,5
0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0
2,2,2,2,2,2,2,2,4,4,4,6,4,4,7,7,10,9,9,7
1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,9
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,5
1,1,1,1,1,1,1,1,4,4,4,6,4,4,6,6,7,7,7,5
2,2,2,2,2,2,2,2,5,5,5,7,5,5,8,8,5,5,5,12
1,1,1,1,1,1,1,1,6,6,6,7,6,6,7,7,4,4,4,11
0,0,0,1,0,0,1,1,13,13,13,15,13,13,16,16,13,13,13,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,4,4,4,9
0,0,0,0,0,0,0,0,11,11,11,11,11,11,14,14,17,16,16,16
1,1,1,1,1,1,1,1,8,8,8,10,8,8,11,11,11,11,11,20
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,1,3
0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,5,4,4,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,17,19,17,18,34,34,127,125,124,156,124,125,203,199,142,136,136,210
17,17,16,18,16,17,22,22,93,87,83,98,83,87,127,121,70,70,67,156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,18,18,18,0
1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,12,12,12,6
72,72,71,79,71,72,89,88,577,576,573,651,573,576,711,707,472,467,467,1502
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4
1,1,1,1,1,1,1,1,7,7,7,8,7,7,12,12,3,3,3,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,6
1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,11,11,11,12,11,11,16,16,7,7,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7
12,12,12,12,12,12,12,12,66,65,65,71,65,65,81,74,69,67,67,106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2,2,2,3,2,2,3,3,27,22,22,27,22,22,37,31,27,27,27,32
0,0,0,0,0,0,0,0,5,5,5,6,5,5,7,6,4,4,4,14
14,14,14,14,14,14,17,17,130,119,115,125,115,119,155,141,100,96,95,109
0,0,0,1,0,0,1,1,2,2,2,5,2,2,5,5,3,3,3,2
6,6,6,6,6,6,6,6,32,32,32,34,32,32,37,37,40,29,29,79
0,0,0,0,0,0,0,0,1,1,1,3,1,1,3,3,4,4,4,4
0,0,0,0,0,0,0,0,1,1,1,3,1,1,3,3,4,4,4,6
0,0,0,1,0,0,1,1,0,0,0,3,3,3,3,3,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2
0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,3,3,3,6
1,1,1,1,1,1,1,1,7,6,6,7,6,6,14,13,1,1,1,21
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,11
1,1,1,2,1,1,3,2,12,11,11,13,11,11,15,14,12,10,10,23
0,0,0,0,0,0,0,0,18,18,18,17,18,18,18,18,10,10,10,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
3,3,2,3,2,3,4,4,5,5,5,51,40,45,64,64,7,7,7,22
1,1,1,1,1,1,42,1,8,8,8,8,8,8,8,8,4,4,4,34
2,2,2,4,2,2,5,5,13,13,13,32,13,13,40,39,92,82,79,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,7,7,7,9,7,7,11,11,3,3,3,9
21,21,21,22,21,21,23,23,194,193,192,204,192,193,214,213,241,240,240,293
0,0,0,1,0,0,2,2,0,0,0,3,0,0,3,3,4,4,4,4
7,7,7,7,7,7,7,7,44,44,44,51,44,44,55,55,7,7,7,50
1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3
2,2,2,2,2,2,3,3,5,5,5,6,5,5,7,7,5,5,5,13
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,2,1
1,1,1,2,1,1,2,2,9,9,9,28,25,25,31,31,18,18,18,30
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1
16,16,16,18,16,16,22,22,94,93,93,100,93,93,106,105,67,66,65,182
1,1,1,1,1,1,1,1,7,6,6,6,6,6,9,8,5,5,5,4
0,0,0,1,0,0,1,1,10,8,8,9,8,8,12,10,3,3,3,4
0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,11
0,0,0,0,0,0,0,0,8,8,8,9,8,8,9,9,1,1,1,7
1,1,1,1,1,1,1,1,46,45,45,48,45,45,52,51,36,34,34,47
11,10,10,19,13,14,26,24,2,2,2,114,93,100,151,149,20,20,20,41
0,0,0,1,0,0,1,1,4,4,4,4,4,4,4,4,5,5,5,15
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,5
3,3,3,3,3,3,3,3,14,12,12,15,12,12,21,19,10,10,10,25
0,0,0,0,0,0,0,0,1,1,1,3,1,1,3,3,1,1,1,5
0,0,0,0,0,0,0,0,3,3,3,5,3,3,5,5,0,0,0,5
2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,11,11,11,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,6,6,6,7
37,37,37,37,37,37,37,37,317,317,317,322,317,317,328,328,204,204,204,498
0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,6,6,6,4
0,0,0,2,0,0,2,2,0,0,0,10,0,0,10,10,1,1,1,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
3,3,3,6,3,3,6,6,22,22,22,46,22,22,59,59,39,36,36,95
0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,7,7,7,6
8,8,8,10,8,8,10,10,40,40,40,43,40,40,47,46,13,13,13,80
0,0,0,0,0,0,0,0,18,9,9,9,9,9,18,9,14,6,6,24
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,2
0,0,0,0,0,0,0,0,10,10,10,14,10,10,14,14,7,7,7,14
3,3,3,3,3,3,3,3,27,25,25,29,25,25,33,31,24,24,24,62
2,2,2,4,2,2,5,5,18,18,17,22,17,18,30,30,5,5,5,58
2,2,2,2,2,2,2,2,6,6,6,9,6,6,9,9,6,6,6,30
21,15,15,24,15,15,32,26,78,68,68,125,99,103,175,162,20,19,19,367
2,2,2,2,2,2,2,2,19,19,19,21,19,19,24,24,41,24,23,80
2,2,2,3,2,2,5,5,26,25,25,35,25,25,44,43,32,31,31,61
0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,5,5,5,7
3,1,1,1,1,1,3,1,7,5,5,6,5,5,9,7,31,21,21,16
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5
0,0,0,0,0,0,0,0,2,2,2,3,2,2,3,3,1,1,1,1
1,1,1,2,1,1,2,2,3,3,3,4,3,3,5,4,6,6,6,16
11,11,11,15,11,11,17,17,59,59,56,80,56,59,103,101,66,66,65,216
2,2,2,3,2,2,3,3,22,22,22,25,22,22,26,26,12,11,11,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,3,3,5,3,3,5,5,14,14,13,14,13,14,17,17,6,6,6,15
1,1,1,2,1,1,3,3,8,8,8,44,29,29,59,59,12,12,12,26
0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0
27,27,26,34,26,27,45,45,74,72,68,95,68,72,117,113,19,19,19,428
0,0,0,1,0,0,1,1,4,4,4,6,4,4,6,6,9,9,9,15
0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,6,3,3,3,10
1,1,1,1,1,1,2,2,10,10,10,13,10,10,13,13,11,11,11,19
0,0,0,1,0,0,1,1,8,8,8,8,8,8,8,8,8,8,8,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,8,8,10,8,8,12,11,16,15,14,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,53,34,34,58,58,11,11,11,269,232,240,343,338,127,123,123,207
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,2,2,3,2,2,3,3,30,30,28,33,28,30,38,38,28,28,27,45
2,2,2,3,2,2,3,3,14,14,14,125,93,96,159,156,5,5,5,35
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3
0,0,0,0,0,0,0,0,9,8,8,11,8,8,14,13,3,3,3,9
17,17,17,20,17,17,21,21,181,178,177,208,177,178,237,234,217,208,208,354
2,2,2,2,2,2,2,2,20,20,20,21,20,20,22,22,23,23,23,38
3,3,3,3,3,3,3,3,13,13,13,13,13,13,16,16,20,18,18,17
2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,11
3,3,3,3,3,3,3,3,23,23,23,23,23,23,23,23,22,22,22,33
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,6
36,34,34,36,34,34,39,37,214,211,211,224,211,211,241,236,209,200,200,347
4,4,4,5,4,4,5,5,21,21,21,24,21,21,27,27,15,15,14,42
15,15,15,17,15,15,17,17,147,147,147,156,147,147,175,175,138,133,127,300
33,33,33,42,33,33,58,58,125,120,118,153,118,120,199,193,139,139,135,307
57,53,52,64,52,53,76,71,495,485,474,652,474,485,891,781,860,785,775,1064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0
7,5,5,4,5,5,7,5,17,17,17,21,17,17,21,21,27,21,20,31
0,0,0,1,0,0,1,1,3,3,3,5,3,3,6,6,3,3,3,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,5,5,5,8,5,5,8,8,8,8,8,18
0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,5,5,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
22,22,9,14,9,22,31,31,31,31,26,37,26,31,49,48,35,35,33,71
1,1,1,2,1,1,2,2,11,11,11,13,11,11,15,15,15,13,13,16
46,46,45,68,45,46,114,95,535,522,514,669,514,522,834,818,417,405,403,1049
0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,1,1,1,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0,0,0,0,0,0,0,0,7,6,6,8,6,6,9,8,5,5,5,15
7,7,7,7,7,7,8,8,36,36,36,41,36,36,47,47,52,51,49,73
1,1,1,2,1,1,2,2,10,10,10,11,10,10,12,12,21,21,20,17
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,0
6,6,5,6,5,6,8,8,69,69,36,58,36,69,96,96,77,75,50,235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,20,20,20,24,20,20,30,30,18,18,18,66
